filename,number_lists,number_obs
aus-wa-grenville_reserve.RDS,0,0
aus-wa-hagan_park.RDS,0,0
aus-wa-harmony_fields.RDS,0,0
aus-wa-harry_sandon_reserve.RDS,0,0
aus-wa-herdsman_lake_regional_park.RDS,747,43623
aus-wa-hillcrest_primary_and_reserve.RDS,0,0
aus-wa-hyde_park.RDS,154,2812
aus-wa-jubilee_reserve.RDS,0,0
aus-wa-koondoola_regional_bushland.RDS,1,46
aus-wa-kyilla_park.RDS,0,0
aus-wa-la_grange_dongata_reserve.RDS,0,0
aus-wa-lake_monger_reserve.RDS,91,6972
aus-wa-lathlain_park.RDS,0,0
aus-wa-les_lilleyman_reserve.RDS,0,0
aus-wa-lightning_swamp_bushland.RDS,20,474
aus-wa-manning_park_reserve.RDS,5,175
aus-wa-market_garden_swamp.RDS,0,3
aus-wa-melvista_park.RDS,0,0
aus-wa-menzies_park.RDS,0,0
aus-wa-nicholson_reserve.RDS,0,0
aus-wa-norlin_park.RDS,0,0
aus-wa-peet_park.RDS,0,0
aus-wa-prendwick_park.RDS,1,14
aus-wa-prince_regent_park.RDS,0,0
aus-wa-raphael_park.RDS,0,0
aus-wa-robinson_reserve.RDS,0,0
aus-wa-ron_stone_park.RDS,0,0
aus-wa-rowe_park.RDS,0,0
aus-wa-samson_park.RDS,0,7
aus-wa-shreeve_road_reserve_wetland.RDS,0,0
aus-wa-signal_hill_bushland.RDS,0,9
aus-wa-sir_frederick_samson_park.RDS,0,7
aus-wa-smithy_lake.RDS,3,75
aus-wa-tom_bateman_wetland_and_sports.RDS,4,165
aus-wa-trinity_college_waterford_playing_fields.RDS,1,1
aus-wa-visko_park.RDS,0,0
aus-wa-western_australian_golf_club.RDS,1,74
aus-wa-wicca_park.RDS,0,0
aus-wa-woodville_reserve.RDS,0,0
bri-london-hyde_park_kensington_gardens.RDS,414,21546
can-ont-high_park.RDS,2221,109270
fra-paris-cimetiere_du_pere_lachaise.RDS,33,593
jpn-tokyo-shinjuku_goyen.RDS,45,1050
kor-seoul-seoul_forest.RDS,0,0
usa-az-encanto_park.RDS,588,12105
usa-az-memory_lawn_cemetery.RDS,79,2180
usa-az-phoenix_country_club.RDS,0,4
usa-ca-32nd_street_canyon.RDS,4,42
usa-ca-alamo_park.RDS,55,860
usa-ca-almansor_park.RDS,463,14246
usa-ca-alondra_park.RDS,184,26708
usa-ca-alta_plaza_park.RDS,26,406
usa-ca-athens_park.RDS,1,17
usa-ca-balboa_park.RDS,2,475
usa-ca-buena_vista_park.RDS,263,7390
usa-ca-capitol_park.RDS,264,2556
usa-ca-columbia_park.RDS,61,1139
usa-ca-delthorne_park.RDS,36,782
usa-ca-dennis_v_allen_park.RDS,1,15
usa-ca-dominquez_park.RDS,27,541
usa-ca-earvin_magic_johnson_recreation_area.RDS,210,9714
usa-ca-el_nido_park.RDS,14,252
usa-ca-entradero_park.RDS,214,5347
usa-ca-f_e_hopkins_wilderness_park.RDS,262,17812
usa-ca-golden_gate_heights_park.RDS,20,154
usa-ca-golden_gate_park.RDS,9010,277213
usa-ca-greenwood_mount_hope_beth_isreal_cemetery.RDS,301,6093
usa-ca-helen_keller_park.RDS,0,0
usa-ca-henrietta_basin.RDS,122,3366
usa-ca-holy_cross_cemetery.RDS,0,0
usa-ca-la_romeria_park.RDS,0,0
usa-ca-lafayette_park.RDS,1021,22412
usa-ca-madrona_marsh_nature_preserve.RDS,3328,184553
usa-ca-mckinley_park.RDS,60,1005
usa-ca-mount_davidson_park.RDS,795,28469
usa-ca-old_city_cemetery.RDS,351,7992
usa-ca-oneil_park.RDS,0,0
usa-ca-pacific_crest_cemetery.RDS,15,309
usa-ca-pegasus_park.RDS,0,0
usa-ca-roosevelt_park.RDS,3,47
usa-ca-rowley_memorial_park.RDS,0,3
usa-ca-salt_lake_park.RDS,161,2363
usa-ca-san_diego_country_club.RDS,4,104
usa-ca-southside_park.RDS,160,3151
usa-ca-sunnyglen_park.RDS,2,19
usa-ca-william_land_park.RDS,420,21936
usa-ca-willie_henderson_sports_complex.RDS,0,0
usa-co-allenbrooke_park.RDS,53,551
usa-co-aviator_park.RDS,0,0
usa-co-belmar_park.RDS,1435,45064
usa-co-berkeley_hills_park.RDS,0,0
usa-co-bonnie_brae_park.RDS,0,0
usa-co-city_park.RDS,1273,29351
usa-co-city_park_golf_course.RDS,31,537
usa-co-cranmer_park.RDS,0,0
usa-co-crestmoor_park.RDS,2,8
usa-co-crown_hill_park_and_cemetery.RDS,603,11518
usa-co-f_15_park.RDS,0,0
usa-co-fred_thomas_park.RDS,0,2
usa-co-lakewood_country_club.RDS,0,9
usa-co-mcdonough_park.RDS,0,3
usa-co-okane_park.RDS,22,232
usa-co-pocket_park.RDS,0,1
usa-co-rocky_mountain_lake_park.RDS,566,10119
usa-co-rocky_ridge_park.RDS,0,0
